ID,time,gFx,gFy,gFz,TgF
119,1.22491,-0.0873,0.6589,-0.0219,0.67
120,1.23604,-0.1692,0.6621,-0.072,0.69
121,1.24595,-0.22,0.676,-0.0645,0.71
122,1.25815,-0.2625,0.665,-0.0974,0.72
123,1.25888,-0.2715,0.6611,-0.1067,0.72
124,1.26898,-0.2935,0.6604,-0.1316,0.73
125,1.28016,-0.2642,0.655,-0.1529,0.72
126,1.29288,-0.249,0.6262,-0.1844,0.7
127,1.30293,-0.2686,0.6345,-0.223,0.72
128,1.31262,-0.2781,0.6457,-0.3097,0.77
129,1.32424,-0.2684,0.6386,-0.3322,0.77
130,1.33619,-0.2864,0.7139,-0.1981,0.79
131,1.34774,-0.3157,0.7422,-0.0562,0.81
132,1.3572,-0.3238,0.7745,0.0225,0.84
133,1.36814,-0.2828,0.8331,0.107,0.89
134,1.37946,-0.1846,0.8512,0.1649,0.89
135,1.38944,-0.1169,0.8654,0.1852,0.89
136,1.40156,-0.135,0.8864,0.0985,0.9
137,1.40198,-0.135,0.8864,0.0985,0.9
138,1.41121,-0.1633,0.8851,0.0364,0.9
139,1.42365,-0.2967,0.8949,-0.0693,0.95
140,1.43359,-0.3925,0.8957,-0.1631,0.99
141,1.44531,-0.5009,0.89,-0.2924,1.06
142,1.45817,-0.5886,0.8707,-0.3874,1.12
143,1.46876,-0.6404,0.847,-0.4475,1.15
144,1.47967,-0.6751,0.8187,-0.4888,1.17
145,1.49106,-0.7147,0.7894,-0.4812,1.17
146,1.50226,-0.7525,0.7662,-0.4306,1.16
147,1.51296,-0.7965,0.754,-0.3474,1.15
148,1.52453,-0.8962,0.8053,-0.1886,1.22
149,1.5252,-0.8962,0.8053,-0.1886,1.22
150,1.53563,-0.9561,0.871,-0.0244,1.29
151,1.54638,-0.9375,0.9609,0.2116,1.36
152,1.55676,-0.7885,1.0723,0.4449,1.4
153,1.57018,-0.5236,1.1463,0.5798,1.39
154,1.58078,-0.2896,1.1465,0.5548,1.31
155,1.59105,-0.1926,1.1937,0.5048,1.31
156,1.60101,-0.1897,1.1522,0.3731,1.23
157,1.6126,-0.3692,1.1123,0.2082,1.19
158,1.62441,-0.5659,1.0381,0.0298,1.18
159,1.63444,-0.6375,0.9492,-0.0864,1.15
160,1.64573,-0.7025,0.8412,-0.1639,1.11
161,1.6581,-0.7484,0.7234,-0.224,1.06
162,1.65868,-0.7484,0.7234,-0.224,1.06
163,1.67127,-0.8227,0.6096,-0.2743,1.06
164,1.68231,-0.8871,0.5463,-0.288,1.08
165,1.69046,-0.9236,0.5163,-0.2948,1.1
166,1.70268,-0.9245,0.4523,-0.3107,1.08
167,1.71284,-0.9018,0.4366,-0.3046,1.05
168,1.72491,-0.863,0.4625,-0.3153,1.03
169,1.73621,-0.7816,0.5128,-0.3503,1.0
170,1.74608,-0.7034,0.572,-0.3349,0.97
171,1.75798,-0.6006,0.6824,-0.2281,0.94
172,1.76912,-0.4499,0.7774,-0.0713,0.9
173,1.77982,-0.3336,0.8216,0.0069,0.89
174,1.78037,-0.3336,0.8216,0.0069,0.89
175,1.79372,-0.218,0.8732,0.0125,0.9
176,1.80395,-0.188,0.8805,-0.0371,0.9
177,1.81181,-0.208,0.8871,-0.0977,0.92
178,1.82315,-0.2845,0.8854,-0.2096,0.95
179,1.83626,-0.3925,0.8439,-0.3413,0.99
180,1.84681,-0.4379,0.8184,-0.3373,0.99
181,1.85846,-0.4315,0.7786,-0.2794,0.93
182,1.86952,-0.4027,0.7588,-0.1812,0.88
183,1.88019,-0.4071,0.7386,-0.0762,0.85
184,1.89154,-0.453,0.6763,0.0335,0.81
185,1.9031,-0.5422,0.561,0.0914,0.79
186,1.91435,-0.6094,0.4909,0.1816,0.8
187,1.9156,-0.6165,0.4679,0.2009,0.8
188,1.92576,-0.6148,0.355,0.2348,0.75
189,1.93839,-0.6414,0.1728,0.012,0.66
190,1.94846,-0.7411,0.0455,-0.1978,0.77
191,1.95816,-1.0306,-0.0334,-0.5455,1.17
192,1.96824,-1.3208,-0.0916,-0.7771,1.54
193,1.97941,-2.0732,-0.3991,-1.1694,2.41
194,1.99091,-3.454,-0.4536,-2.6958,4.4
195,2.00226,-5.0996,0.0101,-4.3846,6.73
196,2.01351,-6.2077,0.8209,-5.0469,8.04
197,2.02589,-5.2693,1.3278,-3.0744,6.24
198,2.03585,-4.0403,1.2887,-1.3888,4.46
199,2.04777,-3.4464,0.8812,-0.6422,3.61
200,2.07064,-3.868,-1.2248,-2.9474,5.01
201,2.07089,-3.868,-1.2248,-2.9474,5.01
202,2.07105,-3.868,-1.2248,-2.9474,5.01
203,2.08043,-1.7786,-2.9601,-3.9417,5.24
204,2.08966,-1.0247,-3.8283,-4.3599,5.89
205,2.1015,2.2706,-4.8876,-1.7672,5.67
206,2.11216,6.378,-4.8221,1.4294,8.12
207,2.12457,8.0077,-1.3807,5.6228,9.88
208,2.13652,8.0077,0.4071,5.3025,9.61
209,2.14678,8.0077,3.6396,2.0761,9.04
210,2.15854,8.0077,0.2063,-4.3692,9.12
211,2.16973,1.8922,-5.8188,1.4863,6.3
212,2.1809,-3.5571,-4.4346,7.8219,9.67
213,2.18189,-3.4154,-3.8393,7.9766,9.49
214,2.1941,0.8581,-2.2499,5.1469,5.68
215,2.20684,2.972,-0.5865,-4.6137,5.52
216,2.21757,2.7231,0.4806,-8.0283,8.49
217,2.22462,2.1245,-0.0635,-6.0175,6.38
218,2.2352,0.0336,-0.3769,-2.2011,2.23
219,2.24716,-1.9371,-0.3153,-0.9195,2.17
220,2.25917,-3.5312,0.8595,-0.3605,3.65
221,2.26983,-2.8735,1.6535,-0.0899,3.32
222,2.28076,-1.6645,2.1623,-0.5623,2.79
223,2.29157,-0.5752,1.9845,-2.0633,2.92
224,2.30347,-0.9766,1.6815,-3.1602,3.71
225,2.30389,-0.9766,1.6815,-3.1602,3.71
226,2.31365,-0.9753,1.0434,-3.2046,3.51
227,2.32867,-1.7735,0.1576,-1.6096,2.4
228,2.33998,-2.286,0.0353,-0.524,2.35
229,2.34846,-1.9823,0.1029,0.2248,2.0
230,2.35893,-0.8698,-0.2017,0.0829,0.9
231,2.36977,-0.4245,-0.5892,-1.2156,1.42
232,2.37999,-0.9267,-0.6854,-1.7655,2.11
233,2.39109,-1.3833,-0.8926,-1.464,2.2
234,2.40212,-1.5697,-0.8613,-0.7145,1.93
235,2.41345,-1.677,-0.4443,0.6108,1.84
236,2.42489,-1.4219,0.0714,1.223,1.88
237,2.4358,-0.851,0.431,1.0793,1.44
238,2.44938,0.2095,0.7703,0.2766,0.84
239,2.44979,0.2095,0.7703,0.2766,0.84
240,2.46107,0.5916,0.8915,-0.7788,1.32
241,2.46906,0.5114,0.9467,-1.3521,1.73
242,2.48201,0.0057,0.9091,-2.0203,2.22
243,2.4924,-0.3578,0.8546,-1.9436,2.15
244,2.50288,-0.5532,0.7437,-1.5046,1.77
245,2.51502,-0.5505,0.5688,-0.7583,1.1
246,2.52623,-0.6502,0.3748,-0.2247,0.78
247,2.53766,-0.8644,0.2253,0.0555,0.9
248,2.54885,-0.9409,0.1266,0.1833,0.97
249,2.56027,-0.9778,0.0057,0.2927,1.02
250,2.56081,-0.9778,0.0057,0.2927,1.02
251,2.57333,-1.0481,-0.0393,0.3159,1.1
252,2.58732,-0.8295,-0.0444,0.2106,0.86
253,2.59212,-0.6971,-0.0761,0.1459,0.72
254,2.60335,-0.4237,-0.1192,-0.0671,0.45
255,2.61534,-0.2808,-0.1079,-0.2308,0.38
256,2.62637,-0.0453,-0.1226,-0.4065,0.43
257,2.63671,0.1203,-0.1507,-0.5,0.54
258,2.64837,0.2307,-0.1912,-0.5516,0.63
259,2.66003,0.2185,-0.2489,-0.4995,0.6
260,2.67044,0.1579,-0.3598,-0.3554,0.53
261,2.68105,0.208,-0.4297,-0.2218,0.53
262,2.69529,0.3583,-0.4624,-0.0356,0.59
263,2.6962,0.379,-0.4568,-0.0058,0.59
264,2.71356,0.6812,-0.2833,0.3743,0.83
265,2.72502,1.301,-0.1438,0.6081,1.44
266,2.73609,1.9225,0.0062,0.6115,2.02
267,2.73688,2.0671,0.055,0.5881,2.15
268,2.74879,2.62,0.4579,0.2605,2.67
269,2.75953,2.9324,0.9653,-0.2543,3.1
270,2.77045,3.2278,1.4133,-0.822,3.62
271,2.78122,3.5935,1.8293,-1.645,4.35
272,2.79249,3.6799,1.9999,-2.5702,4.91
273,2.80404,3.2153,2.0773,-2.6428,4.65
274,2.81876,2.7519,2.07,-2.2377,4.11
275,2.81931,2.7519,2.07,-2.2377,4.11
276,2.835,1.9765,2.6155,-1.5273,3.62
277,2.84812,1.503,3.7344,-1.1792,4.19
278,2.85882,0.9612,5.1862,-1.5932,5.51
279,2.87037,0.8478,6.597,-1.6204,6.85
280,2.87204,1.0846,7.3128,-1.5026,7.54
281,2.88167,1.5055,7.9966,-1.5893,8.29
282,2.89273,1.0824,7.9966,-2.4178,8.42
283,2.90373,1.3279,7.9966,-0.7993,8.15
284,2.91476,2.7951,7.9966,1.4165,8.59
285,2.92608,3.9548,7.9966,4.2918,9.9
286,2.93764,6.6821,7.9966,6.8213,12.45
287,2.94858,8.0077,7.9966,7.9766,13.85
288,2.96204,8.0079,6.9117,7.9766,13.25
289,2.97402,8.0079,4.5068,7.9766,12.17
290,2.97503,8.0079,4.1968,7.9766,12.06
291,2.99238,8.0077,2.7772,7.9766,11.64
292,3.00344,8.0077,2.3052,7.9766,11.54
293,3.004,8.0077,2.3052,7.9766,11.54
294,3.01504,8.0077,2.51,7.9766,11.58
295,3.02683,8.0077,1.7053,7.9766,11.43
296,3.038,8.0077,-1.6861,3.3408,8.84
297,3.05172,8.0077,-2.8394,-2.1402,8.76
298,3.06008,8.0079,-3.8021,-0.2828,8.87
299,3.07035,6.8978,-4.3484,3.2668,8.78
300,3.08753,5.6744,-5.2455,2.7823,8.21
301,3.08778,5.6744,-5.2455,2.7823,8.21
302,3.10408,3.571,-4.8854,1.2271,6.17
303,3.11365,4.0281,-5.0021,1.6529,6.63
304,3.12501,3.0609,-4.7969,0.6132,5.72
305,3.13751,2.0896,-4.0706,-0.4526,4.6
306,3.13802,2.0896,-4.0706,-0.4526,4.6
307,3.14802,2.2674,-3.7824,-0.0493,4.41
308,3.15916,1.4249,-3.0522,1.5963,3.73
309,3.17118,1.0335,-2.4488,1.7446,3.18
310,3.18142,1.6518,-1.9755,0.4569,2.62
311,3.19451,3.2502,-0.9327,-2.4532,4.18
312,3.20694,3.8221,0.5434,-4.4454,5.89
313,3.2152,4.0313,1.3601,-4.9902,6.56
314,3.22581,4.6452,2.3604,-4.2316,6.71
315,3.23797,4.5912,2.6736,-2.3818,5.82
316,3.24871,3.9074,2.3849,-1.3245,4.77
317,3.25992,2.1626,1.9556,-0.287,2.93
318,3.26034,2.1626,1.9556,-0.287,2.93
319,3.26992,0.9482,1.7263,0.5788,2.05
320,3.28132,0.5022,1.2616,1.5609,2.07
321,3.29212,0.3416,1.0801,1.8362,2.16
322,3.30602,-0.1057,1.0676,1.2267,1.63
323,3.32113,-0.4213,0.9782,0.2959,1.11
324,3.32653,-0.498,0.9787,0.0555,1.1
325,3.33678,-0.5693,0.8162,-0.1499,1.01
326,3.3486,-1.0223,0.3074,0.0115,1.07
327,3.35922,-1.568,0.0309,0.1474,1.58
328,3.37009,-1.7439,-0.1255,0.2116,1.76
329,3.38188,-1.6955,-0.1301,-0.029,1.7
330,3.39294,-1.4718,0.1102,-0.3723,1.52
331,3.40326,-1.0135,0.0775,-0.7089,1.24
332,3.41681,-0.4096,0.257,-0.9886,1.1
333,3.41723,-0.4096,0.257,-0.9886,1.1
334,3.43051,0.186,0.3284,-1.0551,1.12
335,3.4381,0.3021,0.3172,-1.0468,1.13
336,3.44867,0.1474,0.3321,-0.9464,1.01
337,3.46026,-0.2222,0.3328,-0.5511,0.68
338,3.47132,-0.4008,0.0922,-0.0261,0.41
339,3.48364,-0.5742,-0.0886,0.3594,0.68
340,3.49491,-0.807,-0.242,0.6948,1.09
341,3.50471,-0.7745,-0.4079,0.6115,1.07
342,3.51532,-0.6123,-0.5503,0.3359,0.89
343,3.52756,-0.3956,-0.6976,-0.1414,0.81
344,3.5383,-0.0976,-0.811,-0.3781,0.9
345,3.53882,-0.0976,-0.811,-0.3781,0.9
346,3.55218,0.0913,-0.6068,0.0428,0.62
347,3.56267,0.5039,-0.5037,0.4715,0.85
348,3.57043,1.0093,-0.3295,0.7908,1.32
349,3.58187,1.4446,-0.0842,0.8526,1.68
350,3.59311,1.7757,0.2094,0.5746,1.88
351,3.605,1.8634,0.389,0.1044,1.91
352,3.61686,1.9005,0.4591,-0.0449,1.96
353,3.62755,2.0224,0.5111,0.3528,2.12
354,3.63939,2.224,0.4554,0.8592,2.43
355,3.64909,2.3793,0.4344,1.416,2.8
356,3.66136,2.448,0.3817,1.8513,3.09
357,3.6718,2.3847,0.3448,1.813,3.02
358,3.67231,2.3847,0.3448,1.813,3.02
359,3.68292,2.0359,0.4862,1.6368,2.66
360,3.69722,1.9179,0.6765,1.4162,2.48
361,3.7121,0.8688,1.051,1.0412,1.72
362,3.71855,-0.2149,1.5443,1.181,1.96
363,3.72801,-1.2336,2.7376,1.8975,3.55
364,3.738,-1.2451,4.9834,2.9687,5.93
365,3.74889,-0.0683,7.4853,4.0854,8.53
366,3.76052,-0.4872,7.9966,3.9452,8.93
367,3.77083,-2.3121,7.9966,4.242,9.34
368,3.78176,-2.1248,7.9966,7.1284,10.92
369,3.79356,-1.0662,7.9966,7.9766,11.34
370,3.80472,-0.317,7.9966,7.9766,11.3
371,3.81583,2.4519,6.576,7.9766,10.62
372,3.81673,3.3851,5.9445,7.9766,10.51
373,3.83062,7.2015,3.6042,7.9766,11.33
374,3.84619,8.0077,4.1909,7.4628,11.72
375,3.85013,8.0077,4.8767,6.5831,11.46
376,3.86056,8.0077,5.9232,5.9503,11.6
