ID,time,gFx,gFy,gFz,TgF
120,1.21365,-0.1577,0.8094,0.5497,0.99
121,1.22398,-0.1821,0.8053,0.4632,0.95
122,1.2388,-0.2652,0.8006,0.3611,0.92
123,1.25003,-0.2994,0.7769,0.3181,0.89
124,1.25644,-0.305,0.7742,0.3245,0.89
125,1.26819,-0.3287,0.7938,0.3745,0.94
126,1.27997,-0.3223,0.7911,0.4232,0.95
127,1.29023,-0.2764,0.7576,0.3938,0.9
128,1.30197,-0.2508,0.7036,0.3118,0.81
129,1.31367,-0.3079,0.679,0.2834,0.8
130,1.32595,-0.4176,0.6755,0.2979,0.85
131,1.3266,-0.433,0.6733,0.3054,0.86
132,1.34669,-0.5053,0.6438,0.4083,0.91
133,1.34767,-0.5031,0.6408,0.4251,0.92
134,1.35998,-0.4494,0.6333,0.5375,0.94
135,1.37201,-0.4225,0.6648,0.6509,1.02
136,1.38002,-0.4274,0.5803,0.6606,0.98
137,1.39008,-0.3243,0.6697,0.6157,0.97
138,1.40231,-0.3385,0.6426,0.6643,0.98
139,1.41467,-0.3057,0.6682,0.5873,0.94
140,1.42408,-0.3038,0.668,0.5697,0.93
141,1.43574,-0.3319,0.6926,0.5636,0.95
142,1.4469,-0.3888,0.7203,0.5734,1.0
143,1.45684,-0.3854,0.7159,0.5617,0.99
144,1.47277,-0.3575,0.7293,0.592,1.01
145,1.48219,-0.3434,0.7422,0.6343,1.03
146,1.49024,-0.3231,0.7505,0.699,1.08
147,1.50168,-0.3026,0.7403,0.7676,1.11
148,1.51442,-0.3302,0.7469,0.8458,1.18
149,1.51523,-0.3302,0.7469,0.8458,1.18
150,1.52458,-0.3646,0.7564,0.8072,1.16
151,1.53638,-0.3903,0.7627,0.7207,1.12
152,1.54721,-0.4081,0.795,0.6682,1.12
153,1.55863,-0.3551,0.8053,0.6626,1.1
154,1.56815,-0.2855,0.8155,0.6838,1.1
155,1.58053,-0.2241,0.8595,0.6956,1.13
156,1.58986,-0.2193,0.8683,0.6662,1.12
157,1.60234,-0.2681,0.8768,0.5939,1.09
158,1.61342,-0.3285,0.8817,0.5744,1.1
159,1.62503,-0.3666,0.8536,0.5851,1.1
160,1.6372,-0.378,0.8546,0.6147,1.12
161,1.64684,-0.3373,0.84,0.6183,1.1
162,1.65718,-0.3329,0.8378,0.6174,1.09
