time,gFx,gFy,gFz,TgF
1.302932,-0.2686,0.6345,-0.2230,0.72
1.312624,-0.2781,0.6457,-0.3097,0.77
1.324236,-0.2684,0.6386,-0.3322,0.77
1.336188,-0.2864,0.7139,-0.1981,0.79
1.347736,-0.3157,0.7422,-0.0562,0.81
1.357202,-0.3238,0.7745,0.0225,0.84
1.368139,-0.2828,0.8331,0.1070,0.89
1.379463,-0.1846,0.8512,0.1649,0.89
1.389436,-0.1169,0.8654,0.1852,0.89
1.401560,-0.1350,0.8864,0.0985,0.90
1.401977,-0.1350,0.8864,0.0985,0.90
1.411213,-0.1633,0.8851,0.0364,0.90
1.423654,-0.2967,0.8949,-0.0693,0.95
1.433594,-0.3925,0.8957,-0.1631,0.99
1.445309,-0.5009,0.8900,-0.2924,1.06
1.458166,-0.5886,0.8707,-0.3874,1.12
1.468765,-0.6404,0.8470,-0.4475,1.15
1.479666,-0.6751,0.8187,-0.4888,1.17
1.491065,-0.7147,0.7894,-0.4812,1.17
1.502258,-0.7525,0.7662,-0.4306,1.16
1.512956,-0.7965,0.7540,-0.3474,1.15
1.524528,-0.8962,0.8053,-0.1886,1.22
1.525198,-0.8962,0.8053,-0.1886,1.22
1.535634,-0.9561,0.8710,-0.0244,1.29
1.546377,-0.9375,0.9609,0.2116,1.36
1.556758,-0.7885,1.0723,0.4449,1.40
1.570182,-0.5236,1.1463,0.5798,1.39
1.580775,-0.2896,1.1465,0.5548,1.31
1.591052,-0.1926,1.1937,0.5048,1.31
1.601009,-0.1897,1.1522,0.3731,1.23
1.612599,-0.3692,1.1123,0.2082,1.19
1.624407,-0.5659,1.0381,0.0298,1.18
1.634439,-0.6375,0.9492,-0.0864,1.15
1.645726,-0.7025,0.8412,-0.1639,1.11
1.658104,-0.7484,0.7234,-0.2240,1.06
1.658676,-0.7484,0.7234,-0.2240,1.06
1.671271,-0.8227,0.6096,-0.2743,1.06
1.682308,-0.8871,0.5463,-0.2880,1.08
1.690465,-0.9236,0.5163,-0.2948,1.10
1.702676,-0.9245,0.4523,-0.3107,1.08
1.712844,-0.9018,0.4366,-0.3046,1.05
1.724911,-0.8630,0.4625,-0.3153,1.03
1.736214,-0.7816,0.5128,-0.3503,1.00
1.746078,-0.7034,0.5720,-0.3349,0.97
1.757982,-0.6006,0.6824,-0.2281,0.94
1.769116,-0.4499,0.7774,-0.0713,0.90
1.779818,-0.3336,0.8216,0.0069,0.89
1.780374,-0.3336,0.8216,0.0069,0.89
1.793723,-0.2180,0.8732,0.0125,0.90
1.803951,-0.1880,0.8805,-0.0371,0.90
1.811810,-0.2080,0.8871,-0.0977,0.92
1.823147,-0.2845,0.8854,-0.2096,0.95
1.836261,-0.3925,0.8439,-0.3413,0.99
1.846811,-0.4379,0.8184,-0.3373,0.99
1.858465,-0.4315,0.7786,-0.2794,0.93
1.869525,-0.4027,0.7588,-0.1812,0.88
1.880190,-0.4071,0.7386,-0.0762,0.85
1.891543,-0.4530,0.6763,0.0335,0.81
1.903096,-0.5422,0.5610,0.0914,0.79
1.914350,-0.6094,0.4909,0.1816,0.80
1.915598,-0.6165,0.4679,0.2009,0.80
1.925760,-0.6148,0.3550,0.2348,0.75
1.938394,-0.6414,0.1728,0.0120,0.66
1.948456,-0.7411,0.0455,-0.1978,0.77
1.958162,-1.0306,-0.0334,-0.5455,1.17
1.968235,-1.3208,-0.0916,-0.7771,1.54
1.979406,-2.0732,-0.3991,-1.1694,2.41
1.990908,-3.4540,-0.4536,-2.6958,4.40
2.002257,-5.0996,0.0101,-4.3846,6.73
2.013507,-6.2077,0.8209,-5.0469,8.04
2.025885,-5.2693,1.3278,-3.0744,6.24
2.035846,-4.0403,1.2887,-1.3888,4.46
2.047770,-3.4464,0.8812,-0.6422,3.61
2.070642,-3.8680,-1.2248,-2.9474,5.01
2.070887,-3.8680,-1.2248,-2.9474,5.01
2.071046,-3.8680,-1.2248,-2.9474,5.01
2.080428,-1.7786,-2.9601,-3.9417,5.24
2.089658,-1.0247,-3.8283,-4.3599,5.89
2.101499,2.2706,-4.8876,-1.7672,5.67
2.112159,6.3780,-4.8221,1.4294,8.12
2.124574,8.0077,-1.3807,5.6228,9.88
2.136516,8.0077,0.4071,5.3025,9.61
2.146778,8.0077,3.6396,2.0761,9.04
2.158542,8.0077,0.2063,-4.3692,9.12
2.169734,1.8922,-5.8188,1.4863,6.30
2.180900,-3.5571,-4.4346,7.8219,9.67
2.181887,-3.4154,-3.8393,7.9766,9.49
2.194097,0.8581,-2.2499,5.1469,5.68
2.206837,2.9720,-0.5865,-4.6137,5.52
2.217567,2.7231,0.4806,-8.0283,8.49
2.224616,2.1245,-0.0635,-6.0175,6.38
2.235205,0.0336,-0.3769,-2.2011,2.23
2.247163,-1.9371,-0.3153,-0.9195,2.17
2.259167,-3.5312,0.8595,-0.3605,3.65
2.269833,-2.8735,1.6535,-0.0899,3.32
2.280762,-1.6645,2.1623,-0.5623,2.79
2.291574,-0.5752,1.9845,-2.0633,2.92
2.303474,-0.9766,1.6815,-3.1602,3.71
2.303889,-0.9766,1.6815,-3.1602,3.71
2.313650,-0.9753,1.0434,-3.2046,3.51
2.328669,-1.7735,0.1576,-1.6096,2.40
2.339975,-2.2860,0.0353,-0.5240,2.35
2.348455,-1.9823,0.1029,0.2248,2.00
2.358934,-0.8698,-0.2017,0.0829,0.90
2.369769,-0.4245,-0.5892,-1.2156,1.42
2.379994,-0.9267,-0.6854,-1.7655,2.11
2.391086,-1.3833,-0.8926,-1.4640,2.20
2.402117,-1.5697,-0.8613,-0.7145,1.93
2.413453,-1.6770,-0.4443,0.6108,1.84
2.424888,-1.4219,0.0714,1.2230,1.88
