ID,time,gFx,gFy,gFz,TgF,TS
74,0.74559,0.211,0.2085,1.3432,1.38,2022-04-20 00:00:00.745590
75,0.75608,0.1988,0.2077,1.1942,1.23,2022-04-20 00:00:00.756080
76,0.76979,0.1789,0.2588,0.9462,1.0,2022-04-20 00:00:00.769790
77,0.77042,0.185,0.2715,0.9159,0.97,2022-04-20 00:00:00.770420
78,0.77929,0.2007,0.2893,0.8632,0.93,2022-04-20 00:00:00.779290
79,0.78957,0.2,0.2888,0.8771,0.94,2022-04-20 00:00:00.789570
80,0.80165,0.2178,0.3225,0.9071,0.99,2022-04-20 00:00:00.801650
81,0.81234,0.2632,0.3501,0.9225,1.02,2022-04-20 00:00:00.812340
82,0.82366,0.3182,0.3682,0.8715,1.0,2022-04-20 00:00:00.823660
83,0.83455,0.3052,0.3966,0.8033,0.95,2022-04-20 00:00:00.834550
84,0.84525,0.2974,0.3975,0.7332,0.89,2022-04-20 00:00:00.845250
85,0.8561,0.2154,0.3861,0.7273,0.85,2022-04-20 00:00:00.856100
86,0.86749,0.0536,0.4261,0.75,0.86,2022-04-20 00:00:00.867490
87,0.87828,-0.0216,0.444,0.7615,0.88,2022-04-20 00:00:00.878280
88,0.8897,0.0199,0.4317,0.7703,0.88,2022-04-20 00:00:00.889700
89,0.90526,0.1298,0.4733,0.817,0.95,2022-04-20 00:00:00.905260
90,0.90574,0.1298,0.4733,0.817,0.95,2022-04-20 00:00:00.905740
91,0.91535,0.2173,0.4835,0.8089,0.97,2022-04-20 00:00:00.915350
92,0.92668,0.2591,0.5236,0.6396,0.87,2022-04-20 00:00:00.926680
93,0.93759,0.2689,0.5549,0.4156,0.74,2022-04-20 00:00:00.937590
94,0.9482,0.2769,0.5805,0.3223,0.72,2022-04-20 00:00:00.948200
95,0.95788,0.2645,0.6176,0.2944,0.73,2022-04-20 00:00:00.957880
96,0.96784,0.1487,0.6479,0.3328,0.74,2022-04-20 00:00:00.967840
97,0.97963,-0.0605,0.6665,0.516,0.85,2022-04-20 00:00:00.979630
98,0.99107,-0.07,0.6347,0.6995,0.95,2022-04-20 00:00:00.991070
99,1.00478,-0.2615,0.6763,0.8856,1.14,2022-04-20 00:00:01.004780
100,1.02518,-0.1137,0.6225,0.5294,0.83,2022-04-20 00:00:01.025180
101,1.02611,-0.0922,0.6323,0.4786,0.8,2022-04-20 00:00:01.026110
102,1.03303,-0.0541,0.6795,0.3936,0.79,2022-04-20 00:00:01.033030
103,1.04477,-0.0602,0.7083,0.4278,0.83,2022-04-20 00:00:01.044770
104,1.05606,-0.0683,0.7391,0.4969,0.89,2022-04-20 00:00:01.056060
105,1.06709,-0.0658,0.741,0.5798,0.94,2022-04-20 00:00:01.067090
106,1.06802,-0.0566,0.7391,0.5932,0.95,2022-04-20 00:00:01.068020
107,1.07847,-0.0363,0.7449,0.6059,0.96,2022-04-20 00:00:01.078470
108,1.0886,-0.0409,0.7637,0.5597,0.95,2022-04-20 00:00:01.088600
109,1.10522,-0.0204,0.7899,0.4491,0.91,2022-04-20 00:00:01.105220
110,1.11666,0.017,0.8583,0.2143,0.88,2022-04-20 00:00:01.116660
111,1.12326,0.0209,0.8505,0.249,0.89,2022-04-20 00:00:01.123260
112,1.13561,-0.0724,0.8243,0.4039,0.92,2022-04-20 00:00:01.135610
113,1.1478,-0.177,0.8263,0.4969,0.98,2022-04-20 00:00:01.147800
114,1.15703,-0.1907,0.7857,0.5282,0.97,2022-04-20 00:00:01.157030
115,1.17016,-0.2031,0.8018,0.6711,1.07,2022-04-20 00:00:01.170160
116,1.17932,-0.1807,0.8101,0.742,1.11,2022-04-20 00:00:01.179320
117,1.18998,-0.1394,0.8138,0.7645,1.13,2022-04-20 00:00:01.189980
118,1.2017,-0.1281,0.8065,0.6653,1.05,2022-04-20 00:00:01.201700
119,1.21287,-0.1543,0.8094,0.5714,1.0,2022-04-20 00:00:01.212870
120,1.21365,-0.1577,0.8094,0.5497,0.99,2022-04-20 00:00:01.213650
121,1.22398,-0.1821,0.8053,0.4632,0.95,2022-04-20 00:00:01.223980
