time,gFx,gFy,gFz,TgF
1.325954,-0.4176,0.6755,0.2979,0.85
1.3266,-0.433,0.6733,0.3054,0.86
1.346686,-0.5053,0.6438,0.4083,0.91
1.347669,-0.5031,0.6408,0.4251,0.92
1.359982,-0.4494,0.6333,0.5375,0.94
1.372014,-0.4225,0.6648,0.6509,1.02
1.380024,-0.4274,0.5803,0.6606,0.98
1.390077,-0.3243,0.6697,0.6157,0.97
1.402309,-0.3385,0.6426,0.6643,0.98
1.414671,-0.3057,0.6682,0.5873,0.94
1.424085,-0.3038,0.668,0.5697,0.93
1.43574,-0.3319,0.6926,0.5636,0.95
1.446896,-0.3888,0.7203,0.5734,1
1.456841,-0.3854,0.7159,0.5617,0.99
1.472767,-0.3575,0.7293,0.592,1.01
1.482188,-0.3434,0.7422,0.6343,1.03
1.490242,-0.3231,0.7505,0.699,1.08
1.501681,-0.3026,0.7403,0.7676,1.11
1.514421,-0.3302,0.7469,0.8458,1.18
1.515228,-0.3302,0.7469,0.8458,1.18
1.524585,-0.3646,0.7564,0.8072,1.16
1.53638,-0.3903,0.7627,0.7207,1.12
1.547211,-0.4081,0.795,0.6682,1.12
1.558626,-0.3551,0.8053,0.6626,1.1
1.568148,-0.2855,0.8155,0.6838,1.1
1.580532,-0.2241,0.8595,0.6956,1.13
1.58986,-0.2193,0.8683,0.6662,1.12
1.602342,-0.2681,0.8768,0.5939,1.09
1.613417,-0.3285,0.8817,0.5744,1.1
1.625032,-0.3666,0.8536,0.5851,1.1
1.637198,-0.378,0.8546,0.6147,1.12
1.646844,-0.3373,0.84,0.6183,1.1
1.657175,-0.3329,0.8378,0.6174,1.09
1.668727,-0.37,0.8583,0.6115,1.12
1.679745,-0.3756,0.8409,0.5969,1.1
1.69185,-0.4032,0.8343,0.593,1.1
1.693062,-0.4125,0.837,0.59,1.1
1.715332,-0.4108,0.871,0.5597,1.11
1.715816,-0.4108,0.871,0.5597,1.11
1.725812,-0.3346,0.8868,0.516,1.08
1.735587,-0.3209,0.8893,0.4806,1.06
1.74677,-0.3392,0.8918,0.4185,1.04
1.758128,-0.3793,0.8783,0.3836,1.03
1.769429,-0.4044,0.8639,0.3926,1.03
1.780231,-0.3908,0.8583,0.3794,1.02
1.791088,-0.3859,0.8492,0.3313,0.99
1.802729,-0.4315,0.8497,0.3022,1
1.813737,-0.4978,0.8419,0.279,1.02
1.825001,-0.5417,0.8414,0.2942,1.04
1.837237,-0.5412,0.8292,0.3482,1.05
1.848021,-0.5004,0.8055,0.4071,1.03
1.857852,-0.4711,0.7992,0.4173,1.02
1.868732,-0.4472,0.7938,0.3955,0.99
1.880331,-0.3978,0.8072,0.345,0.96
1.890862,-0.3763,0.8094,0.2734,0.93
1.902421,-0.393,0.8346,0.1913,0.94
1.914111,-0.3905,0.8407,0.1349,0.94
1.914558,-0.3905,0.8407,0.1349,0.94
1.925868,-0.3678,0.838,0.1251,0.92
1.935829,-0.3573,0.8346,0.1271,0.92
1.950766,-0.3543,0.8439,0.108,0.92
1.963146,-0.349,0.849,0.0403,0.92
1.970318,-0.3583,0.8453,-0.008,0.92
1.980847,-0.3583,0.8346,-0.0295,0.91
1.991466,-0.3187,0.8165,-0.0234,0.88
2.003364,-0.2896,0.8126,-0.0552,0.86
2.014695,-0.3047,0.8216,-0.075,0.88
2.026449,-0.3409,0.8184,-0.0881,0.89
2.03869,-0.3751,0.8028,-0.1143,0.89
2.039319,-0.3751,0.8028,-0.1143,0.89
2.070818,-0.5302,0.7982,-0.2618,0.99
2.071257,-0.5302,0.7982,-0.2618,0.99
2.072115,-0.5478,0.8055,-0.2736,1.01
2.079187,-0.5911,0.8346,-0.3044,1.07
2.091078,-0.5771,0.8571,-0.3229,1.08
2.102623,-0.5444,0.868,-0.3036,1.07
2.114228,-0.4946,0.8822,-0.277,1.05
2.125653,-0.4269,0.8957,-0.2506,1.02
2.135597,-0.3697,0.9005,-0.2296,1
2.147826,-0.3385,0.9128,-0.2042,0.99
2.158362,-0.3277,0.9198,-0.18,0.99
2.169909,-0.3104,0.9269,-0.1307,0.99
2.179817,-0.2913,0.9364,-0.0796,0.98
2.192211,-0.2845,0.9445,-0.0085,0.99
2.202927,-0.294,0.9597,0.0648,1.01
2.203546,-0.294,0.9597,0.0648,1.01
2.214751,-0.3069,0.965,0.1017,1.02
2.226952,-0.3162,0.9658,0.0973,1.02
2.237146,-0.3194,0.9714,0.0601,1.02
2.246782,-0.3104,0.9804,0.0052,1.03
2.258201,-0.2791,0.9809,-0.0483,1.02
2.268953,-0.2703,0.967,-0.0811,1.01
2.281216,-0.3131,0.9475,-0.1192,1
2.293101,-0.35,0.922,-0.1341,1
2.302758,-0.4013,0.9013,-0.1394,1
2.314766,-0.4692,0.8805,-0.1468,1.01
2.325521,-0.4858,0.8827,-0.1355,1.02
2.33915,-0.4657,0.8927,-0.1079,1.01
2.339621,-0.4657,0.8927,-0.1079,1.01
2.35379,-0.4516,0.8834,-0.1324,1
2.360283,-0.4753,0.8751,-0.1595,1.01
2.370198,-0.5317,0.8795,-0.1878,1.04
2.38112,-0.5713,0.8702,-0.2076,1.06
2.392413,-0.5537,0.8578,-0.1803,1.04
2.403326,-0.499,0.8529,-0.1187,1
2.415693,-0.4208,0.8529,-0.0698,0.95
2.425987,-0.4218,0.8636,-0.063,0.96
2.436864,-0.4743,0.8827,-0.0681,1
2.448345,-0.4958,0.9108,-0.0456,1.04
2.462771,-0.4491,0.9274,0.0181,1.03
2.463213,-0.4491,0.9274,0.0181,1.03
2.474983,-0.4113,0.9384,0.0628,1.03
2.481769,-0.3866,0.9555,0.1007,1.04
2.492211,-0.3458,0.9677,0.1425,1.04
2.503608,-0.3094,0.9667,0.1647,1.03
2.514661,-0.325,0.9623,0.1508,1.03
2.525942,-0.3859,0.9494,0.1068,1.03
2.53659,-0.4589,0.9245,0.053,1.03
2.54758,-0.4973,0.9001,0.0045,1.03
2.559059,-0.518,0.8798,-0.0442,1.02
2.569908,-0.5461,0.89,-0.0796,1.05
2.582306,-0.5473,0.9047,-0.1158,1.06
2.595256,-0.497,0.9045,-0.1565,1.04
2.59604,-0.4841,0.9015,-0.1631,1.04
2.608312,-0.4426,0.8844,-0.1825,1.01
2.625836,-0.4438,0.8558,-0.2157,0.99
2.626342,-0.4438,0.8558,-0.2157,0.99
2.636992,-0.4794,0.8409,-0.2316,1
2.64858,-0.5319,0.8509,-0.2215,1.03
2.659716,-0.5559,0.8605,-0.1832,1.04
2.669721,-0.5232,0.8592,-0.1521,1.02
2.682395,-0.4679,0.8527,-0.1373,0.98
2.695736,-0.456,0.8549,-0.1453,0.98
2.708382,-0.4589,0.8524,-0.1595,0.98
2.70878,-0.4589,0.8524,-0.1595,0.98
2.725266,-0.4567,0.8697,-0.1023,0.99
2.736969,-0.424,0.8756,-0.0662,0.98
2.748474,-0.4003,0.891,-0.0669,0.98
2.759223,-0.4,0.9015,-0.0974,0.99
2.760209,-0.4042,0.9037,-0.1091,1
2.77222,-0.4171,0.9115,-0.1556,1.01
2.781272,-0.4264,0.9147,-0.1519,1.02
2.793952,-0.4237,0.9171,-0.1087,1.02
2.804192,-0.4115,0.9081,-0.0784,1
2.818238,-0.4188,0.9098,-0.0429,1
2.832835,-0.4047,0.8964,-0.0175,0.98
2.833124,-0.4047,0.8964,-0.0175,0.98
2.847344,-0.4032,0.8888,-0.0031,0.98
2.859622,-0.4215,0.8979,-0.0219,0.99
2.869958,-0.4369,0.9057,-0.0542,1.01
2.881384,-0.4347,0.912,-0.0862,1.01
2.893811,-0.4271,0.8974,-0.1128,1
2.894476,-0.4271,0.8974,-0.1128,1
2.904243,-0.4347,0.8998,-0.1358,1.01
2.915444,-0.4523,0.8908,-0.1783,1.01
2.926103,-0.467,0.882,-0.1959,1.02
2.940845,-0.4753,0.8918,-0.1732,1.03
2.95394,-0.4472,0.8854,-0.1624,1.01
2.960978,-0.4367,0.8812,-0.1673,1
2.97061,-0.4359,0.8918,-0.169,1.01
2.982451,-0.4484,0.9064,-0.1683,1.03
2.993684,-0.4499,0.9152,-0.1387,1.03
3.005927,-0.4249,0.9247,-0.0921,1.02
3.015471,-0.3878,0.9245,-0.0468,1
3.025803,-0.3663,0.904,-0.0163,0.98
3.038942,-0.4096,0.8617,-0.0862,0.96
3.050737,-0.4345,0.7992,-0.1673,0.92
